#,Country,First Name,Last Name ,Last,UID,Matches,Minutes,km,m/min,poss,no poss,speed,low,med,high
110,ALG ,Nadir,BELHADJ,BELH,BELHALG ,3,270,30.48,112.9,12.19,11.85,28.38,156,17,19
173,ALG ,Madjid,BOUGHERRA,BOUG,BOUGALG ,3,270,28.61,106,10.85,11.68,26.06,165,13,14
191,ALG ,Rafik,HALLICHE,HALL,HALLALG ,3,270,28.12,104.1,10.67,11.52,24.09,169,14,11
74,ALG ,Foued,KADIR,KADI,KADIALG ,3,262,30.84,117.7,12.4,11.98,27.09,146,20,20
54,ALG ,Medhi,LACEN,LACE,LACEALG ,3,270,32.44,120.1,12.22,14.37,28.75,150,22,22
163,ALG ,Karim,MATMOUR,MATM,MATMALG ,3,256,27.42,107.1,11.91,10.21,28.57,160,13,17
238,ALG ,Anther,YAHIA,YAHI,YAHIALG ,3,270,26.14,96.8,9.4,11.07,22.98,168,13,11
23,ALG ,Hassan,YEBDA,YEBD,YEBDALG ,3,268,33.61,125.4,13.3,14.13,26.98,143,21,26
62,ALG ,Karim,ZIANI,ZIAN,ZIANALG ,3,240,28.61,119.2,11.55,11.46,22.86,144,18,19
217,ARG ,Nicolas,BURDISSO,BURD,BURDARG ,4,252,25.49,101.2,10.87,9.32,23.17,156,15,14
249,ARG ,Martin,DEMICHELIS,DEMI,DEMIARG ,4,360,32.72,90.9,13.78,12.35,26.35,227,15,15
98,ARG ,Angel,DI MARIA,DI M,DI MARG ,4,281,32.23,114.7,13.74,12.02,25.98,171,21,23
168,ARG ,Gabriel,HEINZE,HEIN,HEINARG ,3,270,28.77,106.6,11.23,11.38,27.12,166,15,15
172,ARG ,Gonzalo,HIGUAIN,HIGU,HIGUARG ,3,251,26.61,106,11.41,9.11,30.93,165,14,15
177,ARG ,Javier,MASCHERANO,MASC,MASCARG ,3,270,28.45,105.4,10.73,12.26,22.84,167,16,13
