Players,PLAYERLASTNAME,PLAY,UID,PASSES / MEAN,Km covered in possession,Km covered not in possession,Matches Played,Minutes Played,Minutes / game,Meters  / minute,M_MIN_OVER_AVG,Distance km covered,Top Speed 
Ignazio,ABATE,ABAT,ABATITA,0.8,3.7,3,1,90,90,104.44,0.883213531,9.4,31.5
Vincent,ABOUBAKAR,ABOU,ABOUCMR,0.5,4.3,5,2,142,71,99.3,-18.95214168,14.1,29.4
Gabriel,ACHILIER,ACHI,ACHIECU,0,0.5,0.7,2,9,4.5,200,81.74785832,1.8,22.7
Johnny,ACOSTA,ACOS,ACOSCRC,0.7,4.3,9,2,163,81.5,117.18,-1.07214168,19.1,27.4
Albert,ADOMAH,ADOM,ADOMGHA,1.7,0.9,0.6,1,12,12,183.33,65.07785832,2.2,26.5
Harrison,AFFUL,AFFU,AFFUGHA,1.4,7.2,9.5,2,180,90,122.22,3.96785832,22,29.9
Acquah,AFRIYIE,AFRI,AFRIGHA,1.3,0.7,1.1,1,14,14,178.57,60.31785832,2.5,28.5
Sergio,AGUERO,AGUE,AGUEARG,0.4,13.1,10.3,5,313,62.6,102.24,-16.01214168,32,31.1
Abel,AGUILAR,AGUI,AGUICOL,0.8,9.4,10.3,3,238,79.33,121.01,2.75785832,28.8,27.2
Paul,AGUILAR,AGUI,AGUIMEX,1.1,12.8,14.4,4,360,90,110.28,-7.97214168,39.7,31.1
Igor,AKINFEEV,AKIN,AKINRUS,0.5,3.5,3.3,3,270,90,37.41,-80.84214168,10.1,24.2
Jordi,ALBA,ALBA,ALBAESP,1.8,13.7,10.4,3,270,90,117.78,-0.47214168,31.8,31.6
Raul,ALBIOL,ALBI,ALBIESP,1,4.3,3.4,1,90,90,111.11,-7.14214168,10,23.9
Toby,ALDERWEIRELD,ALDE,ALDEBEL,1.2,16.7,15.4,4,390,97.5,117.18,-1.07214168,45.7,29.6
Andre,ALMEIDA,ALME,ALMEPOR,1.3,3.2,3.3,2,71,35.5,115.49,-2.76214168,8.2,31.6
Hugo,ALMEIDA,ALME,ALMEPOR,1.3,0.9,1.2,1,28,28,103.57,-14.68214168,2.9,24.5
Xabi,ALONSO,ALON,ALONESP,1.9,10.3,7.6,3,191,63.67,122.51,4.25785832,23.4,27.1
Jozy,ALTIDORE,ALTI,ALTIUSA,0.3,0.7,0.9,1,23,23,104.35,-13.90214168,2.4,23.5
Ricardo,ALVAREZ,ALVA,ALVAARG,1,1.3,1.4,1,27,27,137.04,18.78785832,3.7,30.9
Dani,ALVES,ALVE,ALVEBRA,1.6,16.3,15.3,4,390,97.5,114.1,-4.15214168,44.5,28.9
Bruno,ALVES,ALVE,ALVEPOR,1.1,10,11.4,3,270,90,108.89,-9.36214168,29.4,27.8
Efe,AMBROSE,AMBR,AMBRNGA,1.3,13.4,14.2,4,360,90,106.11,-12.14214168,38.2,30.1
Shola,AMEOBI,AMEO,AMEONGA,0.6,2.9,2.3,2,63,31.5,122.22,3.96785832,7.7,24.9
Ruben,AMORIM,AMOR,AMORPOR,1.1,4.2,3.8,1,90,90,125.56,7.30785832,11.3,27.8
Karim,ANSARI FARD,ANSA,ANSAIRN,0.6,0.9,1.2,1,22,22,136.36,18.10785832,3,24.9
Toshihiro,AOYAMA,AOYA,AOYAJPN,1,2.9,2.5,1,62,62,117.74,-0.51214168,7.3,25.2
Javier,AQUINO,AQUI,AQUIMEX,0,1.3,1.6,1,29,29,148.28,30.02785832,4.3,27.6
El,ARBI SOUDANI,ARABI,ARBIALG,0.3,4.4,8.2,3,167,55.67,113.77,-4.48214168,19,28.3
Charles,ARANGUIZ,ARAN,ARANCHI,0.9,17.9,15.9,4,364,91,129.12,10.86785832,47,29.1
Egidio,AREVALO,AREV,AREVURU,1,11.1,15.1,4,360,90,110.56,-7.69214168,39.8,27.8
Santiago,ARIAS,ARIA,ARIACOL,1.1,5.2,6.3,3,124,41.33,121.77,3.51785832,15.1,31.4
Pablo,ARMERO,ARME,ARMECOL,0.9,15.1,15.8,5,416,83.2,110.34,-7.91214168,45.9,31.9
Michael,ARROYO,ARRO,ARROECU,0.8,3.8,5.2,2,102,51,126.47,8.21785832,12.9,30.5
Kwadwo,ASAMOAH,ASAM,ASAMGHA,1.4,10.3,10.9,3,270,90,109.63,-8.62214168,29.6,30.9
