First Name,KEY_NAME,KEY_NAME,UID,    MATCHES PLAYED,MINUTES PLAYED,TOTAL PASSES,PASSES COMPLETED,% PASSES COMPLETED,PASSES_90,PASSES / MEAN,PASSES_ABOVE_AVERAGE,PASSES_SQUARED,PASSES_SQUARED_NEG,PASS_SQ_ADJ
Ignazio,ABATE,ABAT,ABATITA,1,90,39,30,77%,30,0.8,-5.4,28.9,-28.9,-28.9
Vincent,ABOUBAKAR,ABOU,ABOUCMR,2,142,39,29,74%,18.4,0.5,-17,288.9,-288.9,-288.9
Johnny,ACOSTA,ACOS,ACOSCRC,2,163,67,48,72%,26.5,0.7,-8.9,78.8,-78.8,-78.8
Albert,ADOMAH,ADOM,ADOMGHA,1,12,12,8,67%,60,1.7,24.6,606.2,-606.2,606.2
Harrison,AFFUL,AFFU,AFFUGHA,2,180,144,97,67%,48.5,1.4,13.1,172.2,-172.2,172.2
Acquah,AFRIYIE,AFRI,AFRIGHA,1,14,9,7,78%,45,1.3,9.6,92.6,-92.6,92.6
Sergio,AGUERO,AGUE,AGUEARG,5,313,90,47,52%,13.5,0.4,-21.9,478,-478,-478
Paul,AGUILAR,AGUI,AGUICOL,4,360,171,116,68%,29,0.8,-6.4,40.7,-40.7,-40.7
Abel,AGUILAR,AGUI,AGUIMEX,3,238,121,100,83%,37.8,1.1,2.4,5.9,-5.9,5.9
Igor,AKINFEEV,AKIN,AKINRUS,3,270,82,56,68%,18.7,0.5,-16.7,279.3,-279.3,-279.3
Jordi,ALBA,ALBA,ALBAESP,3,270,238,194,82%,64.7,1.8,29.3,857.8,-857.8,857.8
Raul,ALBIOL,ALBI,ALBIESP,1,90,45,34,76%,34,1,-1.4,1.9,-1.9,-1.9
Toby,ALDERWEIRELD,ALDE,ALDEBEL,4,390,262,184,70%,42.5,1.2,7.1,50.2,-50.2,50.2
Andre,ALMEIDA,ALME,ALMEPOR,2,71,43,36,84%,45.6,1.3,10.3,105.2,-105.2,105.2
Hugo,ALMEIDA,ALME,ALMEPOR,1,28,6,4,67%,12.9,0.4,-22.5,507.2,-507.2,-507.2
